id	profile	model	dataset	start	stop
qa__llama3-8b__triviaqa__05400-05600	qa	llama3-8b	triviaqa	5400	5600
qa__llama3-8b__triviaqa__05600-05800	qa	llama3-8b	triviaqa	5600	5800
qa__llama3-8b__triviaqa__05800-06000	qa	llama3-8b	triviaqa	5800	6000
qa__llama3-8b__triviaqa__06000-06200	qa	llama3-8b	triviaqa	6000	6200
qa__llama3-8b__triviaqa__06200-06400	qa	llama3-8b	triviaqa	6200	6400
qa__llama3-8b__triviaqa__06400-06600	qa	llama3-8b	triviaqa	6400	6600
qa__llama3-8b__triviaqa__06600-06800	qa	llama3-8b	triviaqa	6600	6800
qa__llama3-8b__triviaqa__06800-07000	qa	llama3-8b	triviaqa	6800	7000
qa__llama3-8b__triviaqa__07000-07200	qa	llama3-8b	triviaqa	7000	7200
qa__llama3-8b__triviaqa__07200-07400	qa	llama3-8b	triviaqa	7200	7400
qa__llama3-8b__triviaqa__07400-07600	qa	llama3-8b	triviaqa	7400	7600
qa__llama3-8b__triviaqa__07600-07800	qa	llama3-8b	triviaqa	7600	7800
qa__llama3-8b__triviaqa__07800-08000	qa	llama3-8b	triviaqa	7800	8000
qa__llama3-8b__triviaqa__08000-08200	qa	llama3-8b	triviaqa	8000	8200
qa__llama3-8b__triviaqa__08200-08400	qa	llama3-8b	triviaqa	8200	8400
qa__llama3-8b__triviaqa__08400-08600	qa	llama3-8b	triviaqa	8400	8600
qa__llama3-8b__triviaqa__08600-08800	qa	llama3-8b	triviaqa	8600	8800
qa__llama3-8b__triviaqa__08800-09000	qa	llama3-8b	triviaqa	8800	9000
qa__llama3-8b__triviaqa__09000-09200	qa	llama3-8b	triviaqa	9000	9200
qa__llama3-8b__triviaqa__09200-09400	qa	llama3-8b	triviaqa	9200	9400
qa__llama3-8b__triviaqa__09400-09600	qa	llama3-8b	triviaqa	9400	9600
qa__llama3-8b__triviaqa__09600-09800	qa	llama3-8b	triviaqa	9600	9800
qa__llama3-8b__triviaqa__09800-09960	qa	llama3-8b	triviaqa	9800	9960
qa__llama3-8b__SQuAD__00000-00200	qa	llama3-8b	SQuAD	0	200
qa__llama3-8b__SQuAD__00200-00400	qa	llama3-8b	SQuAD	200	400
qa__llama3-8b__SQuAD__00400-00600	qa	llama3-8b	SQuAD	400	600
qa__llama3-8b__SQuAD__00600-00800	qa	llama3-8b	SQuAD	600	800
qa__llama3-8b__SQuAD__00800-01000	qa	llama3-8b	SQuAD	800	1000
qa__llama3-8b__SQuAD__01000-01200	qa	llama3-8b	SQuAD	1000	1200
qa__llama3-8b__SQuAD__01200-01400	qa	llama3-8b	SQuAD	1200	1400
qa__llama3-8b__SQuAD__01400-01600	qa	llama3-8b	SQuAD	1400	1600
qa__llama3-8b__SQuAD__01600-01800	qa	llama3-8b	SQuAD	1600	1800
qa__llama3-8b__SQuAD__01800-02000	qa	llama3-8b	SQuAD	1800	2000
qa__llama3-8b__SQuAD__02000-02200	qa	llama3-8b	SQuAD	2000	2200
qa__llama3-8b__SQuAD__02200-02400	qa	llama3-8b	SQuAD	2200	2400
qa__llama3-8b__SQuAD__02400-02600	qa	llama3-8b	SQuAD	2400	2600
qa__llama3-8b__SQuAD__02600-02800	qa	llama3-8b	SQuAD	2600	2800
qa__llama3-8b__SQuAD__02800-03000	qa	llama3-8b	SQuAD	2800	3000
qa__llama3-8b__SQuAD__03000-03200	qa	llama3-8b	SQuAD	3000	3200
qa__llama3-8b__SQuAD__03200-03400	qa	llama3-8b	SQuAD	3200	3400
qa__llama3-8b__SQuAD__03400-03600	qa	llama3-8b	SQuAD	3400	3600
qa__llama3-8b__SQuAD__03600-03800	qa	llama3-8b	SQuAD	3600	3800
qa__llama3-8b__SQuAD__03800-04000	qa	llama3-8b	SQuAD	3800	4000
qa__llama3-8b__SQuAD__04000-04200	qa	llama3-8b	SQuAD	4000	4200
qa__llama3-8b__SQuAD__04200-04400	qa	llama3-8b	SQuAD	4200	4400
qa__llama3-8b__SQuAD__04400-04600	qa	llama3-8b	SQuAD	4400	4600
qa__llama3-8b__SQuAD__04600-04800	qa	llama3-8b	SQuAD	4600	4800
qa__llama3-8b__SQuAD__04800-05000	qa	llama3-8b	SQuAD	4800	5000
qa__llama3-8b__SQuAD__05000-05200	qa	llama3-8b	SQuAD	5000	5200
qa__llama3-8b__SQuAD__05200-05400	qa	llama3-8b	SQuAD	5200	5400
qa__llama3-8b__SQuAD__05400-05600	qa	llama3-8b	SQuAD	5400	5600
qa__llama3-8b__SQuAD__05600-05800	qa	llama3-8b	SQuAD	5600	5800
qa__llama3-8b__SQuAD__05800-05928	qa	llama3-8b	SQuAD	5800	5928
qa__llama3-8b__race__00000-00200	qa	llama3-8b	race	0	200
qa__llama3-8b__race__00200-00400	qa	llama3-8b	race	200	400
qa__llama3-8b__race__00400-00600	qa	llama3-8b	race	400	600
qa__llama3-8b__race__00600-00800	qa	llama3-8b	race	600	800
qa__llama3-8b__race__00800-01000	qa	llama3-8b	race	800	1000
qa__llama3-8b__race__01000-01200	qa	llama3-8b	race	1000	1200
qa__llama3-8b__race__01200-01400	qa	llama3-8b	race	1200	1400
qa__llama3-8b__race__01400-01600	qa	llama3-8b	race	1400	1600
qa__llama3-8b__race__01600-01800	qa	llama3-8b	race	1600	1800
qa__llama3-8b__race__01800-02000	qa	llama3-8b	race	1800	2000
qa__llama3-8b__race__02000-02200	qa	llama3-8b	race	2000	2200
qa__llama3-8b__race__02200-02400	qa	llama3-8b	race	2200	2400
qa__llama3-8b__race__02400-02600	qa	llama3-8b	race	2400	2600
qa__llama3-8b__race__02600-02800	qa	llama3-8b	race	2600	2800
qa__llama3-8b__race__02800-03000	qa	llama3-8b	race	2800	3000
qa__llama3-8b__race__03000-03200	qa	llama3-8b	race	3000	3200
qa__llama3-8b__race__03200-03400	qa	llama3-8b	race	3200	3400
qa__llama3-8b__race__03400-03498	qa	llama3-8b	race	3400	3498
qa__gemma-2-9b__nq_open__00000-00200	qa	gemma-2-9b	nq_open	0	200
qa__gemma-2-9b__nq_open__00200-00400	qa	gemma-2-9b	nq_open	200	400
qa__gemma-2-9b__nq_open__00400-00600	qa	gemma-2-9b	nq_open	400	600
qa__gemma-2-9b__nq_open__00600-00800	qa	gemma-2-9b	nq_open	600	800
qa__gemma-2-9b__nq_open__00800-01000	qa	gemma-2-9b	nq_open	800	1000
qa__gemma-2-9b__nq_open__01000-01200	qa	gemma-2-9b	nq_open	1000	1200
qa__gemma-2-9b__nq_open__01200-01400	qa	gemma-2-9b	nq_open	1200	1400
qa__gemma-2-9b__nq_open__01400-01600	qa	gemma-2-9b	nq_open	1400	1600
qa__gemma-2-9b__nq_open__01600-01800	qa	gemma-2-9b	nq_open	1600	1800
qa__gemma-2-9b__nq_open__01800-02000	qa	gemma-2-9b	nq_open	1800	2000
qa__gemma-2-9b__nq_open__02000-02200	qa	gemma-2-9b	nq_open	2000	2200
qa__gemma-2-9b__nq_open__02200-02400	qa	gemma-2-9b	nq_open	2200	2400
qa__gemma-2-9b__nq_open__02400-02600	qa	gemma-2-9b	nq_open	2400	2600
qa__gemma-2-9b__nq_open__02600-02800	qa	gemma-2-9b	nq_open	2600	2800
qa__gemma-2-9b__nq_open__02800-03000	qa	gemma-2-9b	nq_open	2800	3000
qa__gemma-2-9b__nq_open__03000-03200	qa	gemma-2-9b	nq_open	3000	3200
qa__gemma-2-9b__nq_open__03200-03400	qa	gemma-2-9b	nq_open	3200	3400
qa__gemma-2-9b__nq_open__03400-03600	qa	gemma-2-9b	nq_open	3400	3600
qa__gemma-2-9b__nq_open__03600-03610	qa	gemma-2-9b	nq_open	3600	3610
qa__gemma-2-9b__triviaqa__00000-00200	qa	gemma-2-9b	triviaqa	0	200
qa__gemma-2-9b__triviaqa__00200-00400	qa	gemma-2-9b	triviaqa	200	400
qa__gemma-2-9b__triviaqa__00400-00600	qa	gemma-2-9b	triviaqa	400	600
qa__gemma-2-9b__triviaqa__00600-00800	qa	gemma-2-9b	triviaqa	600	800
qa__gemma-2-9b__triviaqa__00800-01000	qa	gemma-2-9b	triviaqa	800	1000
qa__gemma-2-9b__triviaqa__01000-01200	qa	gemma-2-9b	triviaqa	1000	1200
qa__gemma-2-9b__triviaqa__01200-01400	qa	gemma-2-9b	triviaqa	1200	1400
qa__gemma-2-9b__triviaqa__01400-01600	qa	gemma-2-9b	triviaqa	1400	1600
qa__gemma-2-9b__triviaqa__01600-01800	qa	gemma-2-9b	triviaqa	1600	1800
qa__gemma-2-9b__triviaqa__01800-02000	qa	gemma-2-9b	triviaqa	1800	2000
qa__gemma-2-9b__triviaqa__02000-02200	qa	gemma-2-9b	triviaqa	2000	2200
qa__gemma-2-9b__triviaqa__02200-02400	qa	gemma-2-9b	triviaqa	2200	2400
qa__gemma-2-9b__triviaqa__02400-02600	qa	gemma-2-9b	triviaqa	2400	2600
qa__gemma-2-9b__triviaqa__02600-02800	qa	gemma-2-9b	triviaqa	2600	2800
qa__gemma-2-9b__triviaqa__02800-03000	qa	gemma-2-9b	triviaqa	2800	3000
qa__gemma-2-9b__triviaqa__03000-03200	qa	gemma-2-9b	triviaqa	3000	3200
qa__gemma-2-9b__triviaqa__03200-03400	qa	gemma-2-9b	triviaqa	3200	3400
qa__gemma-2-9b__triviaqa__03400-03600	qa	gemma-2-9b	triviaqa	3400	3600
qa__gemma-2-9b__triviaqa__03600-03800	qa	gemma-2-9b	triviaqa	3600	3800
qa__gemma-2-9b__triviaqa__03800-04000	qa	gemma-2-9b	triviaqa	3800	4000
qa__gemma-2-9b__triviaqa__04000-04200	qa	gemma-2-9b	triviaqa	4000	4200
qa__gemma-2-9b__triviaqa__04200-04400	qa	gemma-2-9b	triviaqa	4200	4400
qa__gemma-2-9b__triviaqa__04400-04600	qa	gemma-2-9b	triviaqa	4400	4600
qa__gemma-2-9b__triviaqa__04600-04800	qa	gemma-2-9b	triviaqa	4600	4800
qa__gemma-2-9b__triviaqa__04800-05000	qa	gemma-2-9b	triviaqa	4800	5000
qa__gemma-2-9b__triviaqa__05000-05200	qa	gemma-2-9b	triviaqa	5000	5200
qa__gemma-2-9b__triviaqa__05200-05400	qa	gemma-2-9b	triviaqa	5200	5400
qa__gemma-2-9b__triviaqa__05400-05600	qa	gemma-2-9b	triviaqa	5400	5600
qa__gemma-2-9b__triviaqa__05600-05800	qa	gemma-2-9b	triviaqa	5600	5800
qa__gemma-2-9b__triviaqa__05800-06000	qa	gemma-2-9b	triviaqa	5800	6000
qa__gemma-2-9b__triviaqa__06000-06200	qa	gemma-2-9b	triviaqa	6000	6200
qa__gemma-2-9b__triviaqa__06200-06400	qa	gemma-2-9b	triviaqa	6200	6400
qa__gemma-2-9b__triviaqa__06400-06600	qa	gemma-2-9b	triviaqa	6400	6600
qa__gemma-2-9b__triviaqa__06600-06800	qa	gemma-2-9b	triviaqa	6600	6800
qa__gemma-2-9b__triviaqa__06800-07000	qa	gemma-2-9b	triviaqa	6800	7000
qa__gemma-2-9b__triviaqa__07000-07200	qa	gemma-2-9b	triviaqa	7000	7200
qa__gemma-2-9b__triviaqa__07200-07400	qa	gemma-2-9b	triviaqa	7200	7400
qa__gemma-2-9b__triviaqa__07400-07600	qa	gemma-2-9b	triviaqa	7400	7600
qa__gemma-2-9b__triviaqa__07600-07800	qa	gemma-2-9b	triviaqa	7600	7800
qa__gemma-2-9b__triviaqa__07800-08000	qa	gemma-2-9b	triviaqa	7800	8000
qa__gemma-2-9b__triviaqa__08000-08200	qa	gemma-2-9b	triviaqa	8000	8200
qa__gemma-2-9b__triviaqa__08200-08400	qa	gemma-2-9b	triviaqa	8200	8400
qa__gemma-2-9b__triviaqa__08400-08600	qa	gemma-2-9b	triviaqa	8400	8600
qa__gemma-2-9b__triviaqa__08600-08800	qa	gemma-2-9b	triviaqa	8600	8800
qa__gemma-2-9b__triviaqa__08800-09000	qa	gemma-2-9b	triviaqa	8800	9000
qa__gemma-2-9b__triviaqa__09000-09200	qa	gemma-2-9b	triviaqa	9000	9200
qa__gemma-2-9b__triviaqa__09200-09400	qa	gemma-2-9b	triviaqa	9200	9400
qa__gemma-2-9b__triviaqa__09400-09600	qa	gemma-2-9b	triviaqa	9400	9600
qa__gemma-2-9b__triviaqa__09600-09800	qa	gemma-2-9b	triviaqa	9600	9800
qa__gemma-2-9b__triviaqa__09800-09960	qa	gemma-2-9b	triviaqa	9800	9960
qa__gemma-2-9b__SQuAD__00000-00200	qa	gemma-2-9b	SQuAD	0	200
qa__gemma-2-9b__SQuAD__00200-00400	qa	gemma-2-9b	SQuAD	200	400
qa__gemma-2-9b__SQuAD__00400-00600	qa	gemma-2-9b	SQuAD	400	600
qa__gemma-2-9b__SQuAD__00600-00800	qa	gemma-2-9b	SQuAD	600	800
qa__gemma-2-9b__SQuAD__00800-01000	qa	gemma-2-9b	SQuAD	800	1000
qa__gemma-2-9b__SQuAD__01000-01200	qa	gemma-2-9b	SQuAD	1000	1200
qa__gemma-2-9b__SQuAD__01200-01400	qa	gemma-2-9b	SQuAD	1200	1400
qa__gemma-2-9b__SQuAD__01400-01600	qa	gemma-2-9b	SQuAD	1400	1600
qa__gemma-2-9b__SQuAD__01600-01800	qa	gemma-2-9b	SQuAD	1600	1800
qa__gemma-2-9b__SQuAD__01800-02000	qa	gemma-2-9b	SQuAD	1800	2000
qa__gemma-2-9b__SQuAD__02000-02200	qa	gemma-2-9b	SQuAD	2000	2200
qa__gemma-2-9b__SQuAD__02200-02400	qa	gemma-2-9b	SQuAD	2200	2400
qa__gemma-2-9b__SQuAD__02400-02600	qa	gemma-2-9b	SQuAD	2400	2600
qa__gemma-2-9b__SQuAD__02600-02800	qa	gemma-2-9b	SQuAD	2600	2800
qa__gemma-2-9b__SQuAD__02800-03000	qa	gemma-2-9b	SQuAD	2800	3000
qa__gemma-2-9b__SQuAD__03000-03200	qa	gemma-2-9b	SQuAD	3000	3200
qa__gemma-2-9b__SQuAD__03200-03400	qa	gemma-2-9b	SQuAD	3200	3400
qa__gemma-2-9b__SQuAD__03400-03600	qa	gemma-2-9b	SQuAD	3400	3600
qa__gemma-2-9b__SQuAD__03600-03800	qa	gemma-2-9b	SQuAD	3600	3800
qa__gemma-2-9b__SQuAD__03800-04000	qa	gemma-2-9b	SQuAD	3800	4000
qa__gemma-2-9b__SQuAD__04000-04200	qa	gemma-2-9b	SQuAD	4000	4200
qa__gemma-2-9b__SQuAD__04200-04400	qa	gemma-2-9b	SQuAD	4200	4400
qa__gemma-2-9b__SQuAD__04400-04600	qa	gemma-2-9b	SQuAD	4400	4600
qa__gemma-2-9b__SQuAD__04600-04800	qa	gemma-2-9b	SQuAD	4600	4800
qa__gemma-2-9b__SQuAD__04800-05000	qa	gemma-2-9b	SQuAD	4800	5000
qa__gemma-2-9b__SQuAD__05000-05200	qa	gemma-2-9b	SQuAD	5000	5200
qa__gemma-2-9b__SQuAD__05200-05400	qa	gemma-2-9b	SQuAD	5200	5400
qa__gemma-2-9b__SQuAD__05400-05600	qa	gemma-2-9b	SQuAD	5400	5600
qa__gemma-2-9b__SQuAD__05600-05800	qa	gemma-2-9b	SQuAD	5600	5800
qa__gemma-2-9b__SQuAD__05800-05928	qa	gemma-2-9b	SQuAD	5800	5928
qa__gemma-2-9b__race__00000-00200	qa	gemma-2-9b	race	0	200
qa__gemma-2-9b__race__00200-00400	qa	gemma-2-9b	race	200	400
qa__gemma-2-9b__race__00400-00600	qa	gemma-2-9b	race	400	600
qa__gemma-2-9b__race__00600-00800	qa	gemma-2-9b	race	600	800
qa__gemma-2-9b__race__00800-01000	qa	gemma-2-9b	race	800	1000
qa__gemma-2-9b__race__01000-01200	qa	gemma-2-9b	race	1000	1200
qa__gemma-2-9b__race__01200-01400	qa	gemma-2-9b	race	1200	1400
qa__gemma-2-9b__race__01400-01600	qa	gemma-2-9b	race	1400	1600
qa__gemma-2-9b__race__01600-01800	qa	gemma-2-9b	race	1600	1800
qa__gemma-2-9b__race__01800-02000	qa	gemma-2-9b	race	1800	2000
qa__gemma-2-9b__race__02000-02200	qa	gemma-2-9b	race	2000	2200
qa__gemma-2-9b__race__02200-02400	qa	gemma-2-9b	race	2200	2400
qa__gemma-2-9b__race__02400-02600	qa	gemma-2-9b	race	2400	2600
qa__gemma-2-9b__race__02600-02800	qa	gemma-2-9b	race	2600	2800
qa__gemma-2-9b__race__02800-03000	qa	gemma-2-9b	race	2800	3000
qa__gemma-2-9b__race__03000-03200	qa	gemma-2-9b	race	3000	3200
qa__gemma-2-9b__race__03200-03400	qa	gemma-2-9b	race	3200	3400
qa__gemma-2-9b__race__03400-03498	qa	gemma-2-9b	race	3400	3498
timing__llama3-3b__SQuAD__00000-00200	timing	llama3-3b	SQuAD	0	200
timing__llama3-3b__nq_open__00000-00200	timing	llama3-3b	nq_open	0	200
timing__llama3-8b__SQuAD__00000-00200	timing	llama3-8b	SQuAD	0	200
timing__llama3-8b__nq_open__00000-00200	timing	llama3-8b	nq_open	0	200
timing__gemma-2-9b__SQuAD__00000-00200	timing	gemma-2-9b	SQuAD	0	200
timing__gemma-2-9b__nq_open__00000-00200	timing	gemma-2-9b	nq_open	0	200
timing__gemma-2-27b__SQuAD__00000-00200	timing	gemma-2-27b	SQuAD	0	200
timing__gemma-2-27b__nq_open__00000-00200	timing	gemma-2-27b	nq_open	0	200
